Epoch_UTC,0.3_Bin,0.5_Bin,1.0_Bin,2.5_Bin,5.0_Bin,10.0_Bin,PM_1.0_SP,PM_2.5_SP,PM_10.0_SP,PM_1.0_AM,PM_2.5_AM,PM_10.0_AM
1621527027.1361,720.0000,224.0000,44.0000,5.0000,2.0000,1.0000,4.0000,6.0000,7.0000,4.0000,6.0000,7.0000
1621527027.9741,750.0000,234.0000,42.0000,5.0000,2.0000,1.0000,4.0000,6.0000,8.0000,4.0000,6.0000,8.0000
1621527028.8831,750.0000,234.0000,42.0000,5.0000,2.0000,1.0000,4.0000,6.0000,8.0000,4.0000,6.0000,8.0000
1621527029.7211,750.0000,234.0000,42.0000,5.0000,2.0000,1.0000,4.0000,6.0000,8.0000,4.0000,6.0000,8.0000
1621527030.5601,744.0000,235.0000,51.0000,5.0000,2.0000,1.0000,3.0000,5.0000,7.0000,3.0000,5.0000,7.0000
1621527031.4681,744.0000,235.0000,51.0000,5.0000,2.0000,1.0000,3.0000,5.0000,7.0000,3.0000,5.0000,7.0000
1621527032.3071,744.0000,235.0000,51.0000,5.0000,2.0000,1.0000,3.0000,5.0000,7.0000,3.0000,5.0000,7.0000
1621527033.1461,714.0000,223.0000,47.0000,5.0000,2.0000,1.0000,4.0000,6.0000,8.0000,4.0000,6.0000,8.0000
1621527034.0541,714.0000,223.0000,47.0000,5.0000,2.0000,1.0000,4.0000,6.0000,8.0000,4.0000,6.0000,8.0000
1621527034.8921,714.0000,223.0000,47.0000,5.0000,2.0000,1.0000,4.0000,6.0000,8.0000,4.0000,6.0000,8.0000
1621527035.7301,717.0000,226.0000,39.0000,5.0000,2.0000,1.0000,3.0000,5.0000,7.0000,3.0000,5.0000,7.0000
1621527036.6391,717.0000,226.0000,39.0000,5.0000,2.0000,1.0000,3.0000,5.0000,7.0000,3.0000,5.0000,7.0000
1621527037.4781,717.0000,226.0000,39.0000,5.0000,2.0000,1.0000,3.0000,5.0000,7.0000,3.0000,5.0000,7.0000
1621527038.3161,717.0000,226.0000,39.0000,5.0000,2.0000,1.0000,3.0000,5.0000,7.0000,3.0000,5.0000,7.0000
1621527039.2251,717.0000,226.0000,39.0000,5.0000,2.0000,1.0000,4.0000,6.0000,8.0000,4.0000,6.0000,8.0000
1621527040.0631,717.0000,226.0000,39.0000,5.0000,2.0000,1.0000,4.0000,6.0000,8.0000,4.0000,6.0000,8.0000
1621527040.9011,732.0000,234.0000,43.0000,2.0000,2.0000,1.0000,4.0000,6.0000,7.0000,4.0000,6.0000,7.0000
1621527041.8101,732.0000,234.0000,43.0000,2.0000,2.0000,1.0000,4.0000,6.0000,7.0000,4.0000,6.0000,7.0000
1621527042.6481,732.0000,234.0000,43.0000,2.0000,2.0000,1.0000,4.0000,6.0000,7.0000,4.0000,6.0000,7.0000
1621527043.4871,711.0000,227.0000,35.0000,1.0000,1.0000,0.0000,4.0000,5.0000,6.0000,4.0000,5.0000,6.0000
1621527044.3951,711.0000,227.0000,35.0000,1.0000,1.0000,0.0000,4.0000,5.0000,6.0000,4.0000,5.0000,6.0000
1621527045.2341,711.0000,227.0000,35.0000,1.0000,1.0000,0.0000,4.0000,5.0000,6.0000,4.0000,5.0000,6.0000
